gene_id,log2FC,pvalue,padj,mean_expr,species,de_method,dataset_id
Potri.009G097800,-0.37187613255438,0.0017667053772346,0.0105960655054424,7.2180175444191,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G097900,-0.163479894280501,0.104179772985723,0.215127212913271,3.79294865938801,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G098100,0.355268764543881,0.00224424125345051,0.0127390747935818,8.36797608266954,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G098400,0.316873661577826,0.528273810348907,0.671784122873994,3.13862238398107,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G098500,-0.255154531800921,0.24073571261061,0.392807774891743,8.76848750506681,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G099000,-0.311360067340751,0.0976625287608884,0.205677689970136,2.97017527262829,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G099600,-0.210637799842385,0.0912943336122833,0.195792949927081,4.45947382723627,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G099800,-0.347928325660279,0.016104136960369,0.0552161469482378,10.0593935084232,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G100200,-0.113602548408993,0.477003904680259,0.626803219016613,5.4328845521221,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G101000,0.158197065714609,0.359093290038533,0.51577194948771,3.86709253149225,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G101100,0.17878473347086,0.493417081580427,0.641001092443947,2.92845287647768,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G101900,0.321125992525887,0.51851580064014,0.662924298757357,7.14543439629143,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G102000,0.123817378728397,0.603724753304868,0.734150568012032,7.70679956814288,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G102500,0.0669930179451983,0.682206380141935,0.790905322407541,5.07306759627457,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G102800,0.612179109726181,0.0348597810256405,0.0970957537220196,5.09604118934905,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G102900,-0.0522653693487438,0.503240292467309,0.649614245555516,5.61485841963342,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G103700,0.180292985123189,0.0949954636348508,0.20151352165559,4.59474541557782,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G104100,0.446657894838638,0.00734094913789802,0.0310031430827497,3.42247091351845,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G104300,-0.5690696384766,0.00640535284945554,0.0281083905024425,4.0940006068623,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G104600,0.413398318966301,0.00650584886273734,0.0284023582110576,6.34547430367622,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G104900,0.261230565203968,0.168343943272586,0.304317503282166,5.0390647481,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G105000,0.172045864920356,0.171669387583056,0.309613654343057,7.46017403925802,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G105200,0.0351236859328647,0.789063727313257,0.865171389013266,3.60801181503135,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G105400,-0.674620984515262,0.0177236742535988,0.0592238445719787,5.08851197656382,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G106100,0.33701850039151,0.187642437440997,0.329313125198381,2.90008717754122,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G106300,0.346216204355043,0.135717545085576,0.260403164163897,3.465837672063,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G106400,1.28570586211051,1.08640959876107e-07,7.69344978047056e-06,7.00713271878712,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G106700,0.0490857233531612,0.542930943739946,0.682741199125075,6.07110922882321,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G107000,-0.237354328177819,0.223820834447691,0.37304694871406,3.0659184311615,poplar_G_vs_B,limma-voom,poplar_G_vs_B
Potri.009G107100,-0.520012470812294,0.00490895507779599,0.0231068445401855,8.2180209445877,poplar_G_vs_B,limma-voom,poplar_G_vs_B
