gene_id,log2FC,pvalue,padj,mean_expr,species,de_method,dataset_id
g1,-0.165705112415359,0.428128718434539,0.592012582194972,194.481323761354,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g2,0.242966918358555,0.274766795047656,0.442051560318899,401.628986501792,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g3,0.0140512865221859,0.944903745124544,0.969013209489345,170.164242832481,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g4,0.285621110699112,0.0702081008959093,0.167442963526262,529.014260500837,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g5,-0.685697806632291,4.16894723085246e-06,5.41701435853202e-05,812.750023430859,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g6,0.297097953190123,0.0355080461416918,0.101530742794154,365.870040334834,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g7,-0.0733721728389334,0.878904939681353,0.928612799064077,20.9789328960081,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g8,-0.0315109707752665,0.794958292277462,0.873816668889129,2309.66731470358,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g9,-0.00234451714779127,0.983972537899695,0.991396396124698,869.25977990542,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g10,0.035929418270129,0.829508108885428,0.896792455124803,2371.78263372871,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g11,2.30634647517355,1.00298833495708e-09,2.87148762728585e-08,58.7598807422515,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g12,0.53574185612101,0.0369507061693341,0.104758617586501,684.296620926162,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g13,0.29218207910759,0.112884798695941,0.236068139847169,416.687656275103,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g15,0.351424858409369,0.0543361751044042,0.139213329432611,199.983603221734,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g16,0.0356866606435248,0.759002227290728,0.850830603990835,2763.45807935558,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g17,0.0247046436605105,0.870866976858085,0.922899629018304,452.034667559702,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g18,0.93375089506936,0.0689973080896354,0.165355479929068,21.4915435733938,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g19,0.191164459555958,0.304985539965923,0.474119090631216,159.706597123666,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g21,0.053439837896821,0.864757923537504,0.918777551550292,99.4168358301828,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g22,1.34935025449004,0.0233290287517477,0.0742675432378385,12.2864400629231,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g23,-0.0601423130900313,0.758902870069698,0.850811379925943,664.175198622759,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g24,0.115914771184693,0.329333283859671,0.498852593626111,1686.30915289148,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g25,0.0291860822937766,0.887604493430866,0.934275383143936,248.052151774718,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g26,-0.00481333145925021,0.962629689548447,0.980043964519724,2012.02102026505,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g27,-0.2865783379511,0.178400014112683,0.327106187012924,193.251079031589,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g28,0.0964963522649819,0.752091745213509,0.846500210491256,58.9902974470195,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g29,0.0795428936847757,0.785742671933655,0.869133092842127,51.9565290659185,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g30,-0.0532150784812919,0.774568760750236,0.86160784494675,303.243363049503,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g31,-0.000324727888923079,0.998796192682145,0.999375568827172,377.052605077309,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
g33,-0.0802702053903518,0.658049287953497,0.777585329185901,203.141073912055,argan_196_vs_YM3,DESeq2,argan_196_vs_YM3
